Date,Visitor,GV,Home,GH,,Att.,LOG,Notes
2008-10-04,Pittsburgh Penguins,4,Ottawa Senators,3,OT,13699,,NHL Premiere Series
2008-10-04,New York Rangers,2,Tampa Bay Lightning,1,,17085,,NHL Premiere Series
2008-10-05,Tampa Bay Lightning,1,New York Rangers,2,,17085,,NHL Premiere Series
2008-10-05,Ottawa Senators,3,Pittsburgh Penguins,1,,13699,,NHL Premiere Series
2008-10-09,Boston Bruins,5,Colorado Avalanche,4,,18007,,
2008-10-09,Toronto Maple Leafs,3,Detroit Red Wings,2,,20066,,
2008-10-09,Anaheim Ducks,1,San Jose Sharks,4,,17496,,
2008-10-09,Calgary Flames,0,Vancouver Canucks,6,,18630,,
2008-10-10,Washington Capitals,4,Atlanta Thrashers,7,,18545,,
2008-10-10,Montreal Canadiens,1,Buffalo Sabres,2,SO,18690,,
2008-10-10,Florida Panthers,4,Carolina Hurricanes,6,,18680,,
2008-10-10,Columbus Blue Jackets,5,Dallas Stars,4,OT,18532,,
2008-10-10,New York Islanders,1,New Jersey Devils,2,,16834,,
2008-10-10,Chicago Blackhawks,2,New York Rangers,4,,18200,,
2008-10-10,Nashville Predators,2,St. Louis Blues,5,,19150,,
2008-10-11,Vancouver Canucks,5,Calgary Flames,4,OT,19289,,
2008-10-11,Atlanta Thrashers,2,Florida Panthers,3,OT,18401,,
2008-10-11,Boston Bruins,3,Minnesota Wild,4,,18568,,
2008-10-11,Dallas Stars,1,Nashville Predators,3,,17113,,
2008-10-11,St. Louis Blues,2,New York Islanders,5,,16234,,
2008-10-11,Detroit Red Wings,3,Ottawa Senators,2,,20182,,
2008-10-11,New York Rangers,4,Philadelphia Flyers,3,,19623,,
2008-10-11,Columbus Blue Jackets,1,Phoenix Coyotes,3,,17125,,
2008-10-11,New Jersey Devils,2,Pittsburgh Penguins,1,OT,17132,,
2008-10-11,Los Angeles Kings,1,San Jose Sharks,3,,17496,,
2008-10-11,Carolina Hurricanes,4,Tampa Bay Lightning,3,OT,18552,,
2008-10-11,Montreal Canadiens,6,Toronto Maple Leafs,1,,19370,,
2008-10-11,Chicago Blackhawks,2,Washington Capitals,4,,18277,,
2008-10-12,Phoenix Coyotes,4,Anaheim Ducks,2,,17174,,
2008-10-12,Colorado Avalanche,2,Edmonton Oilers,3,,16839,,
2008-10-12,San Jose Sharks,1,Los Angeles Kings,0,,18118,,
2008-10-13,Detroit Red Wings,3,Carolina Hurricanes,1,,18680,,
2008-10-13,Nashville Predators,3,Chicago Blackhawks,2,SO,21712,,
2008-10-13,Buffalo Sabres,7,New York Islanders,1,,13523,,
2008-10-13,New Jersey Devils,1,New York Rangers,4,,18200,,
2008-10-13,Montreal Canadiens,5,Philadelphia Flyers,3,,19323,,
2008-10-13,St. Louis Blues,5,Toronto Maple Leafs,4,SO,19045,,
2008-10-13,Vancouver Canucks,1,Washington Capitals,5,,16847,,
2008-10-14,Minnesota Wild,4,Atlanta Thrashers,2,,11843,,
2008-10-14,Colorado Avalanche,4,Calgary Flames,5,,19289,,
2008-10-14,Anaheim Ducks,3,Los Angeles Kings,6,,14451,,
2008-10-14,Philadelphia Flyers,2,Pittsburgh Penguins,3,OT,16965,,
2008-10-14,Columbus Blue Jackets,2,San Jose Sharks,5,,17496,,
2008-10-15,Edmonton Oilers,3,Anaheim Ducks,2,,16604,,
2008-10-15,Phoenix Coyotes,1,Chicago Blackhawks,4,,20522,,
2008-10-15,Nashville Predators,4,Dallas Stars,6,,16899,,
2008-10-15,Boston Bruins,3,Montreal Canadiens,4,SO,21273,,
2008-10-15,Buffalo Sabres,3,New York Rangers,1,,18200,,
2008-10-16,New Jersey Devils,1,Atlanta Thrashers,0,,11293,,
2008-10-16,Philadelphia Flyers,2,Colorado Avalanche,5,,18007,,
2008-10-16,Vancouver Canucks,4,Detroit Red Wings,3,OT,19011,,
2008-10-16,Minnesota Wild,6,Florida Panthers,2,,12106,,
2008-10-16,Washington Capitals,4,Pittsburgh Penguins,3,,17030,,
2008-10-16,Dallas Stars,1,St. Louis Blues,6,,18550,,
2008-10-16,New York Islanders,4,Tampa Bay Lightning,3,OT,14420,,
2008-10-17,San Jose Sharks,0,Anaheim Ducks,4,,17174,,
2008-10-17,Vancouver Canucks,2,Buffalo Sabres,5,,18449,,
2008-10-17,Nashville Predators,3,Columbus Blue Jackets,5,,17930,,
2008-10-17,Edmonton Oilers,4,Calgary Flames,3,,19289,,
2008-10-17,Carolina Hurricanes,3,Los Angeles Kings,4,OT,14194,,
2008-10-17,Toronto Maple Leafs,0,New York Rangers,1,SO,18200,,
2008-10-17,Phoenix Coyotes,3,Ottawa Senators,6,,20179,,
2008-10-18,Buffalo Sabres,2,Atlanta Thrashers,3,SO,14091,,
2008-10-18,Colorado Avalanche,5,Dallas Stars,4,,17151,,
2008-10-18,New York Rangers,4,Detroit Red Wings,5,OT,20066,,
2008-10-18,Calgary Flames,2,Edmonton Oilers,3,,16839,,
2008-10-18,New York Islanders,0,Florida Panthers,2,,16087,,
2008-10-18,Phoenix Coyotes,1,Montreal Canadiens,4,,21273,,
2008-10-18,Columbus Blue Jackets,3,Nashville Predators,6,,13259,,
2008-10-18,Boston Bruins,4,Ottawa Senators,2,,19318,,
2008-10-18,Toronto Maple Leafs,1,Pittsburgh Penguins,4,,17033,,
2008-10-18,Philadelphia Flyers,4,San Jose Sharks,5,OT,17496,,
2008-10-18,Chicago Blackhawks,3,St. Louis Blues,4,SO,19150,,
2008-10-18,Minnesota Wild,1,Tampa Bay Lightning,0,SO,15191,,
2008-10-18,New Jersey Devils,4,Washington Capitals,3,SO,17904,,
2008-10-19,Carolina Hurricanes,3,Anaheim Ducks,1,,16847,,
2008-10-19,Vancouver Canucks,2,Chicago Blackhawks,4,,21193,,
2008-10-20,Pittsburgh Penguins,2,Boston Bruins,1,SO,17565,,
2008-10-20,Colorado Avalanche,4,Los Angeles Kings,3,,13891,,
2008-10-20,Florida Panthers,1,Montreal Canadiens,3,,21273,,
2008-10-20,Dallas Stars,2,New York Rangers,1,,18200,,
2008-10-21,Boston Bruins,2,Buffalo Sabres,3,SO,18334,,
2008-10-21,Vancouver Canucks,2,Columbus Blue Jackets,4,,12057,,
2008-10-21,Washington Capitals,1,Calgary Flames,2,,19289,,
2008-10-21,Atlanta Thrashers,2,Tampa Bay Lightning,3,OT,13922,,
2008-10-21,Anaheim Ducks,3,Toronto Maple Leafs,2,SO,19222,,
2008-10-22,Edmonton Oilers,0,Chicago Blackhawks,3,,21168,,
2008-10-22,Dallas Stars,0,New Jersey Devils,5,,12101,,
2008-10-22,Florida Panthers,3,Ottawa Senators,1,,18952,,
2008-10-22,San Jose Sharks,7,Philadelphia Flyers,6,SO,19072,,
2008-10-22,Detroit Red Wings,4,St. Louis Blues,3,,19150,,
2008-10-23,Toronto Maple Leafs,4,Boston Bruins,2,,12274,,
2008-10-23,Edmonton Oilers,1,Colorado Avalanche,4,,14898,,
2008-10-23,Buffalo Sabres,4,Minnesota Wild,3,OT,18568,,
2008-10-23,Calgary Flames,5,Nashville Predators,3,,12042,,
2008-10-23,Dallas Stars,5,New York Islanders,3,,10183,,
2008-10-23,Washington Capitals,1,Phoenix Coyotes,2,,14722,,
2008-10-23,Carolina Hurricanes,1,Pittsburgh Penguins,4,,17132,,
2008-10-24,New York Rangers,3,Columbus Blue Jackets,1,,14724,,
2008-10-24,Atlanta Thrashers,3,Detroit Red Wings,5,,20066,,
2008-10-24,San Jose Sharks,3,Florida Panthers,4,,15232,,
2008-10-24,Philadelphia Flyers,6,New Jersey Devils,3,,15529,,
2008-10-24,Anaheim Ducks,4,Ottawa Senators,3,,19762,,
2008-10-24,Los Angeles Kings,4,St. Louis Blues,0,,19150,,
2008-10-25,Atlanta Thrashers,4,Boston Bruins,5,,16044,,
2008-10-25,Detroit Red Wings,6,Chicago Blackhawks,5,SO,22690,,
2008-10-25,Buffalo Sabres,1,Colorado Avalanche,2,SO,18007,,
2008-10-25,Washington Capitals,6,Dallas Stars,5,OT,18532,,
2008-10-25,Columbus Blue Jackets,1,Minnesota Wild,2,,18568,,
2008-10-25,Anaheim Ducks,6,Montreal Canadiens,4,,21273,,
2008-10-25,Los Angeles Kings,4,Nashville Predators,5,,14704,,
2008-10-25,Carolina Hurricanes,4,New York Islanders,3,,11219,,
2008-10-25,Pittsburgh Penguins,2,New York Rangers,3,SO,18200,,
2008-10-25,New Jersey Devils,2,Philadelphia Flyers,3,OT,19611,,
2008-10-25,Calgary Flames,4,Phoenix Coyotes,1,,15038,,
2008-10-25,Florida Panthers,0,St. Louis Blues,4,,19150,,
2008-10-25,San Jose Sharks,3,Tampa Bay Lightning,0,,16831,,
2008-10-25,Ottawa Senators,2,Toronto Maple Leafs,3,,19232,,
2008-10-25,Edmonton Oilers,3,Vancouver Canucks,6,,18630,,
2008-10-27,Ottawa Senators,5,Buffalo Sabres,2,,18690,,
2008-10-27,Anaheim Ducks,3,Columbus Blue Jackets,2,,10494,,
2008-10-27,Boston Bruins,1,Edmonton Oilers,0,OT,16839,,
2008-10-27,Detroit Red Wings,4,Los Angeles Kings,3,SO,17671,,
2008-10-27,Chicago Blackhawks,2,Minnesota Wild,3,,18568,,
2008-10-27,New York Rangers,4,New York Islanders,2,,15581,,
2008-10-28,Philadelphia Flyers,7,Atlanta Thrashers,0,,13207,,
2008-10-28,Colorado Avalanche,0,Calgary Flames,3,,19289,,
2008-10-28,Carolina Hurricanes,2,Montreal Canadiens,3,SO,21273,,
2008-10-28,Pittsburgh Penguins,1,San Jose Sharks,2,,17496,,
2008-10-28,Tampa Bay Lightning,3,Toronto Maple Leafs,2,,19348,,
2008-10-28,Boston Bruins,1,Vancouver Canucks,0,,18630,,
2008-10-28,Nashville Predators,3,Washington Capitals,4,SO,17011,,
2008-10-29,Detroit Red Wings,4,Anaheim Ducks,5,OT,17174,,
2008-10-29,Minnesota Wild,2,Dallas Stars,4,,18431,,
2008-10-29,Toronto Maple Leafs,6,New Jersey Devils,5,SO,14119,,
2008-10-30,Tampa Bay Lightning,5,Buffalo Sabres,2,,18690,,
2008-10-30,Boston Bruins,2,Calgary Flames,3,,19289,,
2008-10-30,Columbus Blue Jackets,4,Colorado Avalanche,2,,14945,,
2008-10-30,Ottawa Senators,2,Florida Panthers,1,,13567,,
2008-10-30,Vancouver Canucks,4,Los Angeles Kings,0,,13652,,
2008-10-30,Montreal Canadiens,2,Minnesota Wild,1,,18568,,
2008-10-30,Edmonton Oilers,1,Nashville Predators,3,,11294,,
2008-10-30,Atlanta Thrashers,2,New York Rangers,3,,18200,,
2008-10-30,New York Islanders,2,Philadelphia Flyers,3,OT,18227,,
2008-10-30,Pittsburgh Penguins,1,Phoenix Coyotes,4,,15178,,
2008-10-30,Detroit Red Wings,2,San Jose Sharks,4,,17496,,
2008-10-30,Carolina Hurricanes,1,St. Louis Blues,0,,17860,,
2008-10-31,Vancouver Canucks,7,Anaheim Ducks,6,SO,16704,,
2008-10-31,Dallas Stars,2,Chicago Blackhawks,5,,21212,,
2008-11-01,Dallas Stars,1,Boston Bruins,5,,14576,,
2008-11-01,Washington Capitals,0,Buffalo Sabres,5,,18690,,
2008-11-01,Edmonton Oilers,3,Carolina Hurricanes,1,,15016,,
2008-11-01,Chicago Blackhawks,4,Columbus Blue Jackets,3,SO,14680,,
2008-11-01,Calgary Flames,3,Los Angeles Kings,2,,16279,,
2008-11-01,Atlanta Thrashers,1,New Jersey Devils,6,,14958,,
2008-11-01,Florida Panthers,2,Nashville Predators,3,SO,14909,,
2008-11-01,Montreal Canadiens,5,New York Islanders,4,,14429,,
2008-11-01,Minnesota Wild,3,Phoenix Coyotes,2,,14817,,
2008-11-01,Pittsburgh Penguins,6,St. Louis Blues,3,,19150,,
2008-11-01,Ottawa Senators,2,Tampa Bay Lightning,3,SO,16104,,
2008-11-01,New York Rangers,2,Toronto Maple Leafs,5,,19179,,
2008-11-02,Calgary Flames,2,Anaheim Ducks,3,,16965,,
2008-11-02,Florida Panthers,3,Atlanta Thrashers,5,,10584,,
2008-11-02,Toronto Maple Leafs,4,Carolina Hurricanes,6,,15635,,
2008-11-02,San Jose Sharks,5,Colorado Avalanche,3,,15452,,
2008-11-02,Edmonton Oilers,5,Philadelphia Flyers,â€¦2009-03-25,Ottawa Senators,1,Carolina Hurricanes,2,,17146,,
2009-03-25,San Jose Sharks,5,Chicago Blackhawks,6,SO,21812,,
2009-03-25,Anaheim Ducks,7,Colorado Avalanche,2,,16279,,
2009-03-25,Minnesota Wild,6,New York Islanders,2,,13332,,
2009-03-25,Calgary Flames,0,Pittsburgh Penguins,2,,17083,,
2009-03-26,New York Rangers,4,Atlanta Thrashers,5,SO,13157,,
2009-03-26,Calgary Flames,0,Columbus Blue Jackets,5,,16327,,
2009-03-26,Los Angeles Kings,1,Dallas Stars,0,SO,16908,,
2009-03-26,Tampa Bay Lightning,2,Montreal Canadiens,3,OT,21273,,
2009-03-26,San Jose Sharks,2,Nashville Predators,3,,16562,,
2009-03-26,Florida Panthers,4,Philadelphia Flyers,2,,19631,,
2009-03-26,Edmonton Oilers,2,Phoenix Coyotes,3,,14337,,
2009-03-26,Vancouver Canucks,2,St. Louis Blues,4,,19250,,
2009-03-27,Edmonton Oilers,5,Anaheim Ducks,3,,17257,,
2009-03-27,Toronto Maple Leafs,3,Buffalo Sabres,5,,18620,,
2009-03-27,New Jersey Devils,2,Chicago Blackhawks,3,OT,21617,,
2009-03-27,Vancouver Canucks,4,Colorado Avalanche,1,,16177,,
2009-03-27,New York Islanders,2,Detroit Red Wings,0,,20066,,
2009-03-27,Tampa Bay Lightning,3,Washington Capitals,5,,18277,,
2009-03-28,Ottawa Senators,3,Atlanta Thrashers,6,,17053,,
2009-03-28,Minnesota Wild,2,Calgary Flames,3,,19289,,
2009-03-28,Florida Panthers,6,Dallas Stars,3,,18532,,
2009-03-28,Buffalo Sabres,4,Montreal Canadiens,3,SO,21273,,
2009-03-28,Carolina Hurricanes,2,New Jersey Devils,1,,17018,,
2009-03-28,Los Angeles Kings,3,Nashville Predators,4,OT,17113,,
2009-03-28,Philadelphia Flyers,4,New York Islanders,3,SO,16234,,
2009-03-28,New York Rangers,3,Pittsburgh Penguins,4,,17110,,
2009-03-28,Phoenix Coyotes,2,San Jose Sharks,3,,17496,,
2009-03-28,Columbus Blue Jackets,3,St. Louis Blues,4,SO,19250,,
2009-03-28,Boston Bruins,7,Toronto Maple Leafs,5,,19360,,
2009-03-29,Colorado Avalanche,1,Anaheim Ducks,4,,17182,,
2009-03-29,St. Louis Blues,5,Columbus Blue Jackets,2,,17095,,
2009-03-29,Vancouver Canucks,4,Chicago Blackhawks,0,,21673,,
2009-03-29,Nashville Predators,4,Detroit Red Wings,3,,20066,,
2009-03-29,Minnesota Wild,3,Edmonton Oilers,2,,16839,,
2009-03-29,Boston Bruins,4,Philadelphia Flyers,3,,19715,,
2009-03-29,Ottawa Senators,3,Tampa Bay Lightning,0,,16427,,
2009-03-30,San Jose Sharks,2,Calgary Flames,1,,19289,,
2009-03-30,New Jersey Devils,0,New York Rangers,3,,18200,,
2009-03-30,Dallas Stars,5,Phoenix Coyotes,6,OT,13831,,
2009-03-31,Tampa Bay Lightning,1,Boston Bruins,3,,16996,,
2009-03-31,Nashville Predators,1,Columbus Blue Jackets,2,,14495,,
2009-03-31,Anaheim Ducks,5,Edmonton Oilers,3,,16839,,
2009-03-31,Ottawa Senators,2,Florida Panthers,5,,15247,,
2009-03-31,Dallas Stars,3,Los Angeles Kings,2,,17648,,
2009-03-31,Vancouver Canucks,2,Minnesota Wild,1,OT,18568,,
2009-03-31,Chicago Blackhawks,1,Montreal Canadiens,4,,21273,,
2009-04-01,Buffalo Sabres,2,Atlanta Thrashers,3,OT,15038,,
2009-04-01,St. Louis Blues,1,Chicago Blackhawks,3,,21548,,
2009-04-01,Phoenix Coyotes,3,Colorado Avalanche,0,,13437,,
2009-04-01,New Jersey Devils,1,Pittsburgh Penguins,6,,17132,,
2009-04-01,Philadelphia Flyers,2,Toronto Maple Leafs,3,,19340,,
2009-04-01,New York Islanders,3,Washington Capitals,5,,18277,,
2009-04-02,Ottawa Senators,1,Boston Bruins,2,,17565,,
2009-04-02,New York Rangers,2,Carolina Hurricanes,4,,18680,,
2009-04-02,Calgary Flames,2,Dallas Stars,1,,17106,,
2009-04-02,St. Louis Blues,5,Detroit Red Wings,4,,19935,,
2009-04-02,San Jose Sharks,2,Edmonton Oilers,1,,16839,,
2009-04-02,Montreal Canadiens,5,New York Islanders,1,,15255,,
2009-04-02,Los Angeles Kings,1,Phoenix Coyotes,2,,13177,,
2009-04-02,Anaheim Ducks,6,Vancouver Canucks,5,SO,18630,,
2009-04-03,Nashville Predators,1,Chicago Blackhawks,3,,21628,,
2009-04-03,Atlanta Thrashers,3,Florida Panthers,1,,15945,,
2009-04-03,Calgary Flames,0,Minnesota Wild,4,,18568,,
2009-04-03,Tampa Bay Lightning,4,New Jersey Devils,5,OT,17625,,
2009-04-03,Toronto Maple Leafs,5,Philadelphia Flyers,8,,19727,,
2009-04-03,Buffalo Sabres,5,Washington Capitals,4,OT,18277,,
2009-04-04,New York Rangers,0,Boston Bruins,1,,17565,,
2009-04-04,New Jersey Devils,3,Buffalo Sabres,2,,18690,,
2009-04-04,Pittsburgh Penguins,2,Carolina Hurricanes,3,OT,18680,,
2009-04-04,St. Louis Blues,4,Dallas Stars,5,OT,18532,,
2009-04-04,Vancouver Canucks,3,Edmonton Oilers,5,,16839,,
2009-04-04,Phoenix Coyotes,1,Los Angeles Kings,6,,18118,,
2009-04-04,Columbus Blue Jackets,4,Nashville Predators,5,SO,16750,,
2009-04-04,Tampa Bay Lightning,1,New York Islanders,3,,12809,,
2009-04-04,Philadelphia Flyers,3,Ottawa Senators,4,SO,19557,,
2009-04-04,Anaheim Ducks,5,San Jose Sharks,2,,17496,,
2009-04-04,Montreal Canadiens,6,Toronto Maple Leafs,2,,19516,,
2009-04-05,San Jose Sharks,3,Anaheim Ducks,2,,17398,,
2009-04-05,Chicago Blackhawks,1,Columbus Blue Jackets,0,OT,15957,,
2009-04-05,Minnesota Wild,2,Detroit Red Wings,3,,20066,,
2009-04-05,Pittsburgh Penguins,2,Florida Panthers,4,,18232,,
2009-04-05,Colorado Avalanche,4,Vancouver Canucks,1,,18630,,
2009-04-05,Atlanta Thrashers,4,Washington Capitals,6,,18277,,
2009-04-06,Detroit Red Wings,4,Buffalo Sabres,1,,18690,,
2009-04-06,Los Angeles Kings,1,Calgary Flames,4,,19289,,
2009-04-06,Ottawa Senators,3,Montreal Canadiens,2,,21273,,
2009-04-07,Washington Capitals,4,Atlanta Thrashers,2,,16027,,
2009-04-07,New York Islanders,0,Carolina Hurricanes,9,,18680,,
2009-04-07,Los Angeles Kings,2,Edmonton Oilers,1,,16839,,
2009-04-07,Dallas Stars,1,Minnesota Wild,3,,18568,,
2009-04-07,Toronto Maple Leafs,4,New Jersey Devils,1,,15046,,
2009-04-07,Chicago Blackhawks,4,Nashville Predators,2,,17113,,
2009-04-07,Montreal Canadiens,1,New York Rangers,3,,18200,,
2009-04-07,Boston Bruins,2,Ottawa Senators,3,,19053,,
2009-04-07,Florida Panthers,1,Philadelphia Flyers,2,,19637,,
2009-04-07,St. Louis Blues,5,Phoenix Coyotes,1,,13761,,
2009-04-07,Colorado Avalanche,0,San Jose Sharks,1,SO,17496,,
2009-04-07,Pittsburgh Penguins,6,Tampa Bay Lightning,4,,19538,,
2009-04-07,Calgary Flames,1,Vancouver Canucks,4,,18630,,
2009-04-08,Columbus Blue Jackets,4,Chicago Blackhawks,3,SO,21536,,
2009-04-08,Buffalo Sabres,3,Toronto Maple Leafs,1,,19516,,
2009-04-09,Florida Panthers,3,Atlanta Thrashers,2,,15738,,
2009-04-09,Montreal Canadiens,4,Boston Bruins,5,OT,17565,,
2009-04-09,Buffalo Sabres,5,Carolina Hurricanes,1,,18513,,
2009-04-09,Dallas Stars,3,Colorado Avalanche,2,SO,13822,,
2009-04-09,Nashville Predators,4,Detroit Red Wings,3,SO,20066,,
2009-04-09,Philadelphia Flyers,1,New York Rangers,2,,18200,,
2009-04-09,New Jersey Devils,3,Ottawa Senators,2,SO,20151,,
2009-04-09,New York Islanders,1,Pittsburgh Penguins,6,,17132,,
2009-04-09,Phoenix Coyotes,4,San Jose Sharks,1,,17496,,
2009-04-09,Washington Capitals,4,Tampa Bay Lightning,2,,18891,,
2009-04-09,Los Angeles Kings,0,Vancouver Canucks,1,,18630,,
2009-04-10,Dallas Stars,3,Anaheim Ducks,4,SO,17531,,
2009-04-10,Calgary Flames,1,Edmonton Oilers,5,,16839,,
2009-04-10,Nashville Predators,4,Minnesota Wild,8,,18568,,
2009-04-10,Columbus Blue Jackets,1,St. Louis Blues,3,,19250,,
2009-04-11,Tampa Bay Lightning,2,Atlanta Thrashers,6,,17122,,
2009-04-11,Boston Bruins,1,Buffalo Sabres,6,,18690,,
2009-04-11,Minnesota Wild,6,Columbus Blue Jackets,3,,19013,,
2009-04-11,Edmonton Oilers,1,Calgary Flames,4,,19289,,
2009-04-11,Vancouver Canucks,1,Colorado Avalanche,0,OT,13397,,
2009-04-11,Chicago Blackhawks,4,Detroit Red Wings,2,,20066,,
2009-04-11,Washington Capitals,4,Florida Panthers,7,,18527,,
2009-04-11,San Jose Sharks,3,Los Angeles Kings,4,,18118,,
2009-04-11,Pittsburgh Penguins,3,Montreal Canadiens,1,,21273,,
2009-04-11,Carolina Hurricanes,2,New Jersey Devils,3,,17625,,
2009-04-11,Philadelphia Flyers,3,New York Islanders,2,,16234,,
2009-04-11,Anaheim Ducks,4,Phoenix Coyotes,5,SO,16438,,
2009-04-11,Ottawa Senators,2,Toronto Maple Leafs,5,,19370,,
2009-04-12,Detroit Red Wings,0,Chicago Blackhawks,3,,22376,,
2009-04-12,St. Louis Blues,1,Colorado Avalanche,0,,13661,,
2009-04-12,Boston Bruins,6,New York Islanders,2,,14311,,
2009-04-12,New York Rangers,4,Philadelphia Flyers,3,,19648,,